Arquivo,"Q1_Fundo_Integro (1=Sim, 0=Nao)","Q2_Falha_Audivel (1=Sim, 0=Nao)","Q3_Tem_Artefatos (0=Nao, 1=Sim)","Q4_Tempo_Inteiro (1=Sim, 0=Nao)",Q5_Naturalidade (1 a 5),OBS
teste_01.wav,1,1,1,1,5,
teste_02.wav,0,0,0,0,1,
teste_03.wav,1,1,1,1,3,
teste_04.wav,1,1,1,1,3,
teste_05.wav,1,1,1,1,4,
teste_06.wav,1,1,1,1,3,
teste_07.wav,1,1,1,1,5,
teste_08.wav,0,0,0,0,1,
teste_09.wav,1,1,1,1,4,
teste_10.wav,1,1,1,1,3,
teste_11.wav,1,1,1,1,5,
teste_12.wav,0,1,0,1,2,
teste_13.wav,0,1,1,1,2,
teste_14.wav,1,1,0,1,3,
teste_15.wav,1,1,0,1,2,
teste_16.wav,0,1,0,0,2,
teste_17.wav,1,1,1,1,5,
teste_18.wav,1,1,1,1,5,
teste_19.wav,1,1,0,1,3,
teste_20.wav,1,1,0,0,2,
teste_21.wav,0,0,0,1,1,
teste_22.wav,1,1,1,1,4,
teste_23.wav,0,0,0,0,1,
teste_24.wav,1,1,1,1,3,
teste_25.wav,1,1,1,1,4,
teste_26.wav,0,1,1,1,3,
teste_27.wav,0,1,0,1,3,
teste_28.wav,1,1,1,1,4,
teste_29.wav,1,1,0,0,2,
teste_30.wav,1,1,1,1,3,
teste_31.wav,1,1,1,1,4,
teste_32.wav,0,0,0,0,1,
teste_33.wav,0,1,0,1,2,
teste_34.wav,1,1,1,1,3,
teste_35.wav,0,1,1,0,3,
teste_36.wav,0,1,1,1,4,
teste_37.wav,0,1,1,1,4,
teste_38.wav,1,0,0,0,1,
teste_39.wav,0,0,0,0,1,
teste_40.wav,1,1,1,1,5,
teste_41.wav,1,1,1,1,5,
teste_42.wav,1,1,1,1,4,
teste_43.wav,1,1,1,1,4,
teste_44.wav,1,1,1,1,3,
teste_45.wav,1,1,1,1,3,
teste_46.wav,1,1,1,1,3,
teste_47.wav,0,0,0,0,1,
teste_48.wav,1,0,0,0,1,
teste_49.wav,1,1,1,1,3,
teste_50.wav,0,1,1,1,3,
teste_51.wav,1,1,1,1,5,
teste_52.wav,0,1,1,1,3,
teste_53.wav,1,0,0,0,1,
teste_54.wav,1,1,1,1,4,
teste_55.wav,0,1,1,1,3,
teste_56.wav,1,1,1,1,5,
teste_57.wav,0,0,0,0,1,
teste_58.wav,0,0,0,0,1,
teste_59.wav,0,0,0,0,1,
teste_60.wav,1,1,1,1,5,
